dataset,model,level,feature_set,threshold_value,precision_normal,recall_normal,f1_score_normal,precision_anomalous,recall_anomalous,f1_score_anomalous
BPI_Challenge_2012,IsolationForest,L1_Micro,time_based_circular,1.0,0.7097057785134606,0.9802745995423342,0.8233305293221754,0.58310016414947,0.06440884820747521,0.11598683025295412
BPI_Challenge_2012,IsolationForest,L1_Micro,time_based_circular,1.25,0.7032983056146409,0.9876076059714503,0.8215508523981463,0.49010006989771987,0.027829900839054157,0.05266059577235847
BPI_Challenge_2012,IsolationForest,L1_Micro,time_based_circular,1.5,0.7011505539265892,0.9922016999019287,0.8216633353127669,0.4207176599688774,0.013225273328248157,0.025642416892125243
BPI_Challenge_2012,IsolationForest,L1_Micro,time_based_circular,1.75,0.7005201872577367,0.995016890051215,0.8221930543330306,0.39030090852431176,0.007445969997457412,0.014612491810819358
BPI_Challenge_2012,IsolationForest,L1_Micro,time_based_circular,2.0,0.700334884148106,0.9968737060041407,0.8226984359080841,0.3927414415074048,0.004715230104246122,0.009318330865203821
BPI_Challenge_2012,IsolationForest,L1_Micro,time_based_circular,2.25,0.700251681457478,0.9980772583632996,0.823050540158371,0.4101651729152884,0.0031184846173404526,0.006189764026277276
BPI_Challenge_2012,IsolationForest,L1_Micro,time_based_circular,2.5,0.7001681112568595,0.9989179470415168,0.8232784767468887,0.4263898118216297,0.0018815153826595473,0.0037464294361147683
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,-1.5,0.6839721060058247,0.08851803421597472,0.1567493709314744,0.2984027259142565,0.9045652173913042,0.4487645948003968
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,-1.25,0.7039387383810132,0.1296562057317206,0.21896543130173057,0.30058673177256645,0.8727752351894228,0.44716657408444316
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,-1.0,0.7720078193258091,0.35029094475318734,0.4819166625898326,0.3335156877259956,0.7586168319349097,0.4633331352196838
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,-0.75,0.7557281078159032,0.5090394464421925,0.608313029533949,0.3497448959797882,0.6161098398169337,0.44619090570171893
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,-0.5,0.7172363307964128,0.6246246049907377,0.6677259035000536,0.3269011033609519,0.4253966437833715,0.36968949076308666
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,-0.25,0.6961655589594858,0.7008308815517054,0.698487539619056,0.2908356604049154,0.28629672006102214,0.28854155568881235
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,0.0,0.6862939729176556,0.7574114634412117,0.7201010739935885,0.2534500678630579,0.1921675565725909,0.21859492338594871
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,0.25,0.683533839548818,0.8038057099269913,0.7388064512154278,0.22333927999232892,0.13164886854818206,0.16565032471132182
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,0.5,0.683696209813775,0.8387811921107116,0.7533391450151468,0.20084162926718152,0.09454614797864226,0.12856416361378864
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,0.75,0.6854446134964913,0.8679857251825215,0.7659889753143845,0.1864092133849912,0.07057843885075006,0.10238238347180237
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,1.0,0.6876746851450164,0.8926484689985834,0.7768677445498544,0.17740372608449761,0.054023646071700994,0.08281812769346367
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,1.25,0.6896921699202971,0.9121096218807889,0.7854583204261505,0.17148705108944845,0.04245232646834478,0.06805041154535124
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,1.5,0.6915070544375818,0.9282140132941048,0.7925635468513116,0.16781308270913212,0.03378718535469107,0.05624194790592078
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,1.75,0.6930066711273388,0.9410139479132613,0.7981887494869018,0.16565141944269665,0.027334096109839816,0.04691835348426521
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,2.0,0.694177227149381,0.9512880026152338,0.8026447234364396,0.1628310929108844,0.022115433511314515,0.03893508497985148
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,2.25,0.6951587617976767,0.9596725509425739,0.806274722327289,0.16090618909538545,0.0180511060259344,0.03245380734443486
BPI_Challenge_2012,IsolationForest,L1_Micro,velocity_based,2.5,0.6959887276705896,0.9667941593113218,0.809338870134128,0.1587987517625912,0.014633867276887872,0.026791458986019822
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,-1.5,0.0,0.0,0.0,0.3,1.0,0.4615384615384615
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,-1.25,0.0,0.0,0.0,0.3,1.0,0.4615384615384615
BPI_Challenge_2012,IsolationForest,L2_Activity,minimal,-1.0,0.7707167357337731,0.27634030728996406,0.40681588417485104,0.323700249988946,0.8081884057971015,0.4622552445997748
