dataset,model,level,feature_set,threshold_value_mean,separation_score,predicted_anomaly_rate_mean,predicted_anomaly_rate_std,precision_anomalous_mean,precision_anomalous_std,recall_anomalous_mean,recall_anomalous_std,f1_score_anomalous_mean,f1_score_anomalous_std,precision_normal_mean,precision_normal_std,recall_normal_mean,recall_normal_std,f1_score_normal_mean,f1_score_normal_std
BPI_Challenge_2012,LOF,L2_Activity,delta_cyclical,351.26652121213175,6.266255009120887,26.991228070175442,6.924805831492928,0.12946734851946065,0.008770246788860087,0.34167020936832515,0.07699742041028124,0.18505331720408585,0.013134429915600333,0.9088923048991093,0.0022456298610656596,0.7381879160267932,0.06859687836331119,0.8130967726409469,0.04051657154746448
BPI_Challenge_2012,LOF,L2_Activity,delta_t,246.71489410114154,29.376868106990212,11.078756674294432,3.1016679674055183,0.07769148926722699,0.012602194355517633,0.08379906820951398,0.022331333409876256,0.07928989275688683,0.013637749995382802,0.8956593692194685,0.002717035372625725,0.8861683741794513,0.03248136233285982,0.8906493338162749,0.01757345063930343
BPI_Challenge_2012,LOF,L2_Activity,delta_z_micro,281842995624.9743,838706.9280708848,3.1498855835240276,0.5053860475155068,0.18304333399299647,0.015193501635963157,0.056822087128955166,0.009901358872159049,0.08634567327326051,0.01182848365391876,0.9014313586945064,0.0015629621070751122,0.9713503979819145,0.004708830124787548,0.9350796533814826,0.002235023754348806
BPI_Challenge_2012,LOF,L2_Activity,omni_fusion_cyclical,270500055356.82544,902735.3669851838,2.59324942791762,0.23964898433958065,0.18647899739566248,0.009770126131309745,0.047735415577718834,0.004601270878503201,0.0759157976233486,0.006079876235691294,0.9010496758946707,0.0014048947577569848,0.9765210575929887,0.0022497373904983436,0.9372669359100507,0.0012987422338137634
BPI_Challenge_2012,LOF,L2_Activity,pure_cyclical,1175.2656852693997,3.2600137210436655,9.318649885583524,5.889347291818216,0.13878103883046342,0.024084713474498493,0.11634985737004644,0.05637086899603395,0.11553444469945781,0.021143022893839177,0.9013626263094439,0.0013751592567384297,0.9094218213384939,0.059200589577197656,0.9045016870252522,0.02988985332356833
BPI_Challenge_2012,LOF,L3_Global,cum_z_cum_t,151924945686.1855,171.98822959643843,0.013539282990083907,0.007859950391380436,0.10378787878787879,0.12484302969351067,0.000132057926995068,0.00015472399166943643,0.000263676835668657,0.00030885450800419785,0.8987848942718317,0.0012799149467418516,0.9998641740296584,8.20643861725471e-05,0.9466335174886504,0.0007239434253625928
BPI_Challenge_2012,LOF,L3_Global,delta_cyclical,8.088870363634031,0.2866457118850885,17.259725400457665,1.773791167938379,0.06293623976007803,0.004648611371697802,0.10791787374375969,0.017648216030478316,0.07933984075665172,0.008444249984177041,0.8908652316008405,0.0017301351673980195,0.8201161148323454,0.017838235117537092,0.8539419228346631,0.009955845108516046
BPI_Challenge_2012,LOF,L3_Global,delta_t,0.8498420655727387,0.39245220311380175,99.99656750572083,0.0019694804709962156,0.10121439140900287,0.0012782131640247918,0.9999621217051414,7.987270342074029e-05,0.18382038936640605,0.0021094621318181453,0.8166666666666667,0.3374742788552764,3.3961179784244074e-05,2.052324139179213e-05,6.791902467264584e-05,4.1043597834894457e-05
BPI_Challenge_2012,LOF,L3_Global,delta_z_micro,1225997356.1585307,0.1401435230724876,3.772501906941266,0.11011950605568682,0.21418289001669916,0.00641706594880147,0.07984952524500792,0.0036742391891103603,0.11630486372310782,0.004578037436026387,0.9032142329713105,0.0014200888339431816,0.9670164963999783,0.0010060028277112927,0.9340261786516875,0.0008042321631208722
BPI_Challenge_2012,LOF,L3_Global,omni_fusion_cyclical,137883057691.36902,73.24867750905852,3.3731884057971016,1.1866393770779986,0.19260766473634988,0.0679743111707696,0.07140216540467528,0.025307721474426895,0.10417000409023355,0.03685757599839928,0.902741993658687,0.002133307493747652,0.9705048437754821,0.010375340324099619,0.9353647874170813,0.003913394278294332
